date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:33:55	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:46%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/custom-header-bg.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/custom-header-bg.170.delayed	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:33:56	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:47%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/video-overlay.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/video-overlay.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:33:57	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:47%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/map.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/map.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:33:57	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:48%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/map-2.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/map-2.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:33:58	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:48%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-icons.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-icons.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:33:58	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:49%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:33:59	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:50%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-item.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-item.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:34:00	0/-1	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:51%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/map-dark.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/map-dark.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:34:01	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:52%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-dark.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-dark.178.delayed	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:34:02	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:52%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-item-dark.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-item-dark.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
